action,label,pred,obs,diff
0,maize_low,0.038026123046875,0.06217824279466542,0.02415211974779042
1,maize_medium,0.04106201171875,0.06210617818874621,0.02104416646999621
2,maize_high,0.044849853515625,0.06211518626448611,0.017265332748861106
3,tree_crops_low,0.05114990234375,0.11318647167185382,0.06203656932810382
4,tree_crops_medium,0.050467529296875,0.11464577994171775,0.06417825064484275
5,tree_crops_high,0.051802978515625,0.009228773595528391,0.04257420492009661
6,tubers_low,0.047353515625,0.062286339703544226,0.014932824078544224
7,tubers_medium,0.050462646484375,0.06933966300788658,0.018877016523511578
8,tubers_high,0.0501123046875,0.008354990248758012,0.041757314438741984
9,legumes_low,0.036627197265625,0.0597280461934124,0.023100848927787396
10,legumes_medium,0.0405712890625,0.06853344022916545,0.02796215116666545
11,legumes_high,0.042191162109375,0.011061917008598208,0.03112924510077679
12,sorghum_millet_low,0.03319091796875,0.04364863099768943,0.010457713028939435
13,sorghum_millet_medium,0.03538330078125,0.043635118884079574,0.008251818102829572
14,sorghum_millet_high,0.038623046875,0.04362160677046972,0.004998559895469726
15,teff_low,0.01033203125,0.008291933718578707,0.0020400975314212935
16,teff_medium,0.010821533203125,0.008287429680708756,0.002534103522416245
17,teff_high,0.0121240234375,0.008291933718578707,0.0038320897189212926
18,other_low,0.044044189453125,0.036401634064939216,0.007642555388185784
19,other_medium,0.04906982421875,0.043635118884079574,0.005434705334670428
20,other_high,0.055245361328125,0.008404534665327467,0.046840826662797534
21,rice_low,0.0390576171875,0.007760457249924558,0.03129715993757544
22,rice_medium,0.047042236328125,0.00789557838602307,0.03914665794210193
23,rice_high,0.044041748046875,0.007728928984834904,0.0363128190620401
24,wheat_barley_low,0.008065185546875,0.009836818707971696,0.0017716331610966966
25,wheat_barley_medium,0.018798828125,0.009958427730460358,0.008840400394539642
26,wheat_barley_high,0.009483642578125,0.009836818707971696,0.0003531761298466961
