action,label,predicted,observed,diff
0,maize_low,0.0445550460988276,0.06217824279466542,0.01762319669583782
1,maize_medium,0.04538511775807011,0.06210617818874621,0.016721060430676102
2,maize_high,0.04645502943388748,0.06211518626448611,0.015660156830598626
3,tree_crops_low,0.04553321052323408,0.11318647167185382,0.06765326114861975
4,tree_crops_medium,0.04057915170950757,0.11464577994171775,0.07406662823221018
5,tree_crops_high,0.0408354539844971,0.009228773595528391,0.03160668038896871
6,tubers_low,0.04601550289834837,0.062286339703544226,0.016270836805195858
7,tubers_medium,0.0467122775568297,0.06933966300788658,0.02262738545105688
8,tubers_high,0.0445230899501403,0.008354990248758012,0.03616809970138229
9,legumes_low,0.04345536273268986,0.0597280461934124,0.01627268346072254
10,legumes_medium,0.045403021308603166,0.06853344022916545,0.023130418920562286
11,legumes_high,0.04539910279565631,0.011061917008598208,0.0343371857870581
12,sorghum_millet_low,0.04218281439310342,0.04364863099768943,0.001465816604586015
13,sorghum_millet_medium,0.04316169946356909,0.043635118884079574,0.0004734194205104833
14,sorghum_millet_high,0.044066673272588876,0.04362160677046972,0.0004450665021191527
15,teff_low,0.011849650711863184,0.008291933718578707,0.003557716993284478
16,teff_medium,0.011948063939321601,0.008287429680708756,0.003660634258612846
17,teff_high,0.012252041455164555,0.008291933718578707,0.003960107736585849
18,other_low,0.045149714218797155,0.036401634064939216,0.008748080153857939
19,other_medium,0.04633215928079523,0.043635118884079574,0.002697040396715658
20,other_high,0.04733324925795976,0.008404534665327467,0.038928714592632294
21,rice_low,0.03779646703269481,0.007760457249924558,0.030036009782770254
22,rice_medium,0.04258815528120961,0.00789557838602307,0.03469257689518654
23,rice_high,0.03693563279480054,0.007728928984834904,0.029206703809965637
24,wheat_barley_low,0.010700918373321683,0.009836818707971696,0.000864099665349987
25,wheat_barley_medium,0.021627038640140886,0.009958427730460358,0.011668610909680528
26,wheat_barley_high,0.01122435513437797,0.009836818707971696,0.0013875364264062749
